"company_id","free_trial_signup_date","google_analytics_medium"
17725977,"2020-12-19","email"
17723536,"2020-12-11","(none)"
17720651,"2020-12-01","email"
17720926,"2020-12-02","email"
17720970,"2020-12-02","(none)"
17711928,"2020-11-03","cpc"
17721040,"2020-12-03","cpc"
17721079,"2020-12-03","cpc"
17721098,"2020-12-04","cpc"
17721246,"2020-12-04","email"
17722960,"2020-12-08","email"
17721611,"2020-12-05","cpc"
17722123,"2020-12-06","(none)"
17730075,"2020-12-30","cpc"
17723914,"2020-12-12","cpc"
17723310,"2020-12-10","email"
17723350,"2020-12-11","(none)"
17730092,"2020-12-30","cpc"
17726938,"2020-12-09","(none)"
17726171,"2020-12-20","(none)"
17724288,"2020-12-13","(none)"
17732827,"2021-01-06","cpc"
17726210,"2020-12-20","email"
17724952,"2020-12-15","(none)"
17737528,"2021-01-25","cpc"
17725352,"2020-12-17","cpc"
17725359,"2020-12-17","cpc"
17732392,"2021-01-05","(none)"
17732035,"2021-01-04","cpc"
17726128,"2020-12-20","email"
17725865,"2020-12-19","(none)"
17728234,"2020-12-27","(none)"
17730258,"2020-12-31","(none)"
17736284,"2021-01-18","email"
17726928,"2020-12-22","(none)"
17726614,"2020-12-21","cpc"
17736294,"2021-01-18","cpc"
17727338,"2020-12-24","cpc"
17737100,"2021-01-23","(none)"
17727384,"2020-12-24","(none)"
17733230,"2021-01-08","(none)"
17731237,"2021-01-03","(none)"
17731948,"2021-01-04","email"
17727959,"2020-12-26","cpc"
17731977,"2021-01-04","cpc"
17729853,"2020-12-29","cpc"
17729333,"2020-12-28","email"
17729328,"2020-12-28","(none)"
17729373,"2020-12-28","(none)"
17736801,"2021-01-22","(none)"
17734735,"2021-01-12","cpc"
17729158,"2020-12-28","cpc"
17729274,"2020-12-28","(none)"
17729309,"2020-12-28","(none)"
17729349,"2020-12-28","cpc"
17729430,"2020-12-28","(none)"
17729387,"2020-12-28","email"
17729456,"2020-12-28","cpc"
17729466,"2020-12-28","email"
17729504,"2020-12-04","(none)"
17729888,"2020-12-29","(none)"
17729506,"2020-12-29","email"
17730120,"2020-12-30","(none)"
17729721,"2020-12-29","cpc"
17729735,"2020-12-29","(none)"
17729744,"2020-12-29","cpc"
17733379,"2021-01-08","(none)"
17730294,"2021-01-01","(none)"
17729835,"2020-12-29","email"
17729837,"2020-12-05","(none)"
17729843,"2020-12-29","cpc"
17729845,"2020-12-29","(none)"
17729882,"2020-12-29","(none)"
17730042,"2020-12-30","(none)"
17730061,"2020-12-30","cpc"
17730085,"2020-12-30","cpc"
17730096,"2020-12-30","(none)"
17730097,"2020-12-30","(none)"
17730110,"2020-12-30","email"
17730143,"2020-12-30","(none)"
17730154,"2020-12-31","email"
17730182,"2020-12-31","(none)"
17730223,"2020-12-31","email"
17730230,"2020-12-31","(none)"
17730305,"2021-01-01","(none)"
17730319,"2021-01-01","(none)"
17731045,"2021-01-03","(none)"
17730343,"2021-01-01","(none)"
17730344,"2021-01-01","(none)"
17730359,"2021-01-01","(none)"
17730374,"2021-01-01","(none)"
17730377,"2021-01-01","social"
17737305,"2021-01-24","email"
17730402,"2021-01-01","email"
17730427,"2021-01-01","email"
17730438,"2021-01-01","cpc"
17730441,"2021-01-01","(none)"
17730477,"2021-01-01","(none)"
17730507,"2021-01-01","(none)"
17733025,"2021-01-07","(none)"
17730643,"2021-01-02","email"
17730654,"2021-01-02","(none)"
17730655,"2021-01-02","cpc"
17730704,"2021-01-02","email"
17730751,"2021-01-02","(none)"
17730786,"2021-01-02","cpc"
17730788,"2021-01-02","email"
17730793,"2021-01-02","cpc"
17730866,"2021-01-02","cpc"
17730883,"2021-01-02","(none)"
17731016,"2021-01-03","(none)"
17731017,"2021-01-03","(none)"
17731023,"2021-01-03","email"
17731059,"2021-01-03","(none)"
17731073,"2021-01-03","(none)"
17731154,"2021-01-03","email"
17731193,"2021-01-03","(none)"
17731189,"2021-01-03","email"
17731412,"2021-01-03","cpc"
17732815,"2021-01-06","cpc"
17731221,"2021-01-03","email"
17731276,"2021-01-03","(none)"
17732502,"2021-01-05","(none)"
17731429,"2021-01-03","email"
17731439,"2021-01-03","(none)"
17731536,"2020-12-09","(none)"
17731613,"2021-01-04","email"
17731728,"2021-01-04","cpc"
17711594,"2020-11-01","(none)"
17721199,"2020-12-04","(none)"
17710641,"2020-10-29","(none)"
17721570,"2020-12-05","(none)"
17711766,"2020-11-02","(none)"
17715736,"2020-11-16","(none)"
17718099,"2020-11-23","(none)"
17735617,"2021-01-16","(none)"
17731991,"2021-01-04","(none)"
17722592,"2020-12-28","social"
17722092,"2020-12-06","cpc"
17729411,"2020-12-28","(none)"
17716088,"2020-11-17","(none)"
17716469,"2020-11-20","social"
17716569,"2020-11-20","(none)"
17716484,"2020-11-20","(none)"
17711602,"2020-12-22","(none)"
17723839,"2020-12-12","(none)"
17720245,"2020-11-30","cpc"
17721298,"2020-12-05","(none)"
17737033,"2021-01-23","cpc"
17716450,"2020-11-20","cpc"
17709835,"2020-10-26","cpc"
17711890,"2020-11-02","(none)"
17710923,"2020-10-30","cpc"
17710726,"2020-10-30","cpc"
17735362,"2021-01-15","(none)"
17723847,"2020-12-12","cpc"
17736084,"2021-01-17","(none)"
17713808,"2020-11-10","(none)"
17718061,"2020-11-23","cpc"
17710045,"2020-10-27","cpc"
17734027,"2021-01-10","email"
17731879,"2021-01-04","email"
17729681,"2020-12-10","social"
17728330,"2020-12-27","(none)"
17723428,"2020-12-11","cpc"
17729789,"2020-12-29","(none)"
17720579,"2020-12-01","cpc"
17714822,"2020-10-20","cpc"
17717851,"2020-11-23","(none)"
17726930,"2020-12-22","cpc"
17725373,"2020-12-17","email"
17722990,"2020-12-19","social"
17713296,"2020-11-09","(none)"
17735114,"2021-01-14","cpc"
17734741,"2021-01-12","cpc"
17725487,"2020-12-18","email"
17733079,"2021-01-07","cpc"
17730354,"2021-01-01","email"
17717439,"2020-11-22","cpc"
17735717,"2021-01-16","email"
17712670,"2020-11-07","cpc"
17736786,"2021-01-22","cpc"
17720255,"2020-11-30","email"
17727805,"2020-12-26","cpc"
17710822,"2020-10-30","cpc"
17719357,"2020-11-28","cpc"
17715081,"2020-11-15","cpc"
17726890,"2020-12-22","cpc"
17720610,"2020-12-01","cpc"
17719054,"2020-11-27","(none)"
17732591,"2021-01-05","(none)"
17718873,"2020-11-27","cpc"
17718659,"2020-11-25","email"
17733186,"2021-01-08","(none)"
17724740,"2020-12-14","(none)"
17720296,"2020-11-30","cpc"
17727357,"2020-12-09","email"
17729758,"2020-12-29","cpc"
17714150,"2020-11-12","email"
17729260,"2020-12-28","cpc"
17718835,"2020-11-27","cpc"
17723887,"2020-12-12","email"
17736036,"2021-01-17","cpc"
17729380,"2020-12-28","(none)"
17710773,"2020-10-09","cpc"
17717609,"2020-11-22","cpc"
17709640,"2020-10-26","(none)"
17709751,"2020-10-26","cpc"
17730050,"2020-12-30","cpc"
17710373,"2020-10-27","(none)"
17710517,"2020-10-07","email"
17710561,"2020-10-28","organic"
17710570,"2020-10-28","cpc"
17710589,"2020-10-15","email"
17712822,"2020-12-01","(none)"
17713326,"2020-11-09","(none)"
17718940,"2020-11-27","(none)"
17710916,"2020-10-30","(none)"
17710961,"2020-10-30","(none)"
17711081,"2020-10-31","(none)"
17711219,"2020-10-31","cpc"
17721012,"2020-12-03","cpc"
17730352,"2021-01-01","cpc"
17711605,"2020-11-01","email"
17711689,"2020-11-02","(none)"
17711819,"2020-11-02","(none)"
17711896,"2020-11-02","(none)"
17712051,"2020-11-03","cpc"
17713009,"2020-11-08","(none)"
17716359,"2020-11-19","email"
17712452,"2020-11-06","cpc"
17720247,"2020-11-30","email"
17736886,"2021-01-23","email"
17713995,"2020-11-11","cpc"
17736951,"2021-01-23","(none)"
17722964,"2020-11-19","email"
17714158,"2020-11-12","(none)"
17723228,"2020-12-09","(none)"
17734081,"2021-01-10","(none)"
17718989,"2020-11-27","cpc"
17734142,"2021-01-10","cpc"
17714669,"2020-11-14","cpc"
17714719,"2020-11-14","(none)"
17715165,"2020-11-15","(none)"
17717205,"2020-11-22","(none)"
17715977,"2020-11-17","cpc"
17716314,"2020-11-18","(none)"
17716087,"2020-11-17","email"
17729428,"2020-12-28","email"
17716402,"2020-11-19","(none)"
17723297,"2020-12-10","cpc"
17718104,"2020-11-23","email"
17717095,"2020-11-21","cpc"
17713024,"2020-12-14","cpc"
17717447,"2020-11-22","social"
17717546,"2020-11-22","cpc"
17717455,"2020-11-22","cpc"
17717922,"2020-11-23","social"
17718082,"2020-11-23","cpc"
17718084,"2020-11-23","cpc"
17718321,"2020-11-24","cpc"
17718656,"2020-11-25","email"
17718657,"2020-11-25","cpc"
17725459,"2020-12-18","cpc"
17718733,"2020-11-25","(none)"
17718799,"2020-11-26","email"
17736996,"2021-01-23","cpc"
17732957,"2021-01-07","cpc"
17734577,"2021-01-12","(none)"
17719403,"2020-11-28","cpc"
17733741,"2020-12-15","(none)"
17728271,"2020-12-27","(none)"
17736627,"2021-01-21","(none)"
17719859,"2020-11-29","email"
17719865,"2020-11-29","(none)"
17720932,"2020-12-02","cpc"
17721175,"2020-12-04","(none)"
17722422,"2020-12-07","cpc"
17721180,"2020-12-04","social"
17721730,"2020-12-05","cpc"
17721998,"2020-12-06","email"
17721986,"2020-12-06","(none)"
17722024,"2020-12-06","(none)"
17722118,"2020-12-06","(none)"
17735462,"2021-01-15","email"
17722603,"2020-12-07","cpc"
17722601,"2020-12-07","email"
17722821,"2020-12-08","(none)"
17722895,"2020-12-08","(none)"
17733395,"2021-01-08","(none)"
17723848,"2020-12-12","cpc"
17731110,"2021-01-03","email"
17730134,"2020-12-30","email"
17723803,"2020-12-01","email"
17723935,"2020-12-13","cpc"
17724115,"2020-12-13","email"
17724332,"2020-12-13","(none)"
17731194,"2020-12-09","(none)"
17724673,"2020-12-14","cpc"
17724978,"2020-12-15","email"
17724997,"2020-12-15","email"
17725077,"2020-12-15","(none)"
17730245,"2020-12-31","(none)"
17733106,"2021-01-08","(none)"
17733384,"2021-01-08","cpc"
17726317,"2020-12-20","email"
17732043,"2021-01-04","(none)"
17730847,"2021-01-02","email"
17729720,"2020-12-29","(none)"
17725876,"2020-12-23","(none)"
17731258,"2021-01-03","(none)"
17734852,"2021-01-13","(none)"
17731460,"2021-01-03","organic"
17730444,"2021-01-01","cpc"
17726548,"2020-12-21","cpc"
17729855,"2020-12-29","email"
17729886,"2020-12-29","(none)"
17727001,"2020-12-22","cpc"
17727023,"2020-12-22","(none)"
17736120,"2021-01-17","cpc"
17730047,"2020-12-30","(none)"
17727225,"2020-12-23","email"
17727282,"2020-12-23","cpc"
17730420,"2021-01-01","(none)"
17727400,"2020-12-25","cpc"
17727478,"2020-12-25","cpc"
17727603,"2020-12-25","(none)"
17729841,"2020-12-29","cpc"
17727880,"2020-12-26","organic"
17737574,"2021-01-25","(none)"
17729704,"2020-12-29","(none)"
17733260,"2021-01-08","cpc"
17728979,"2020-12-27","cpc"
17729169,"2020-12-28","(none)"
17729199,"2020-12-28","cpc"
17730261,"2020-12-31","(none)"
17729226,"2020-12-28","(none)"
17729227,"2020-12-28","email"
17729289,"2020-12-28","(none)"
17729293,"2020-12-28","(none)"
17737054,"2021-01-23","cpc"
17729301,"2020-12-28","(none)"
17729308,"2020-12-28","email"
17729341,"2020-12-28","email"
17729374,"2020-12-28","(none)"
17729357,"2020-12-28","(none)"
17729469,"2020-12-28","cpc"
17729490,"2020-12-28","email"
17729733,"2020-12-29","cpc"
17729740,"2020-12-29","cpc"
17729816,"2020-12-29","cpc"
17729881,"2020-12-29","email"
17730055,"2020-12-30","email"
17730080,"2020-12-30","cpc"
17730082,"2020-12-30","(none)"
17730104,"2020-12-30","(none)"
17730106,"2020-12-30","email"
17730126,"2020-12-30","email"
17730130,"2020-12-30","cpc"
17732799,"2021-01-06","email"
17730187,"2020-12-31","(none)"
17730210,"2020-12-31","(none)"
17730235,"2020-12-31","email"
17730320,"2021-01-01","cpc"
17730326,"2021-01-01","(none)"
17730380,"2021-01-01","(none)"
17730381,"2021-01-01","(none)"
17730383,"2021-01-01","(none)"
17730398,"2021-01-01","(none)"
17730451,"2021-01-01","cpc"
17730458,"2021-01-01","email"
17730483,"2021-01-01","(none)"
17730486,"2021-01-01","(none)"
17732487,"2021-01-05","(none)"
17730632,"2021-01-02","cpc"
17730640,"2021-01-02","cpc"
17730695,"2021-01-02","cpc"
17731176,"2021-01-03","(none)"
17731173,"2021-01-03","(none)"
17731109,"2021-01-03","(none)"
17730787,"2021-01-02","(none)"
17734507,"2021-01-11","(none)"
17730802,"2021-01-02","cpc"
17730813,"2021-01-02","email"
17730815,"2021-01-02","email"
17730871,"2021-01-02","email"
17731590,"2021-01-03","cpc"
17732885,"2021-01-06","cpc"
17731015,"2021-01-03","cpc"
17731166,"2021-01-03","cpc"
17731213,"2021-01-03","cpc"
17731263,"2021-01-03","email"
17731259,"2021-01-03","cpc"
17731264,"2021-01-03","email"
17731366,"2021-01-03","email"
17731834,"2021-01-04","(none)"
17731466,"2021-01-03","cpc"
17731467,"2021-01-03","cpc"
17731538,"2021-01-03","email"
17731790,"2021-01-04","cpc"
17736901,"2021-01-23","cpc"
17731933,"2021-01-04","cpc"
17731946,"2021-01-04","cpc"
17732005,"2021-01-04","email"
17732073,"2021-01-04","(none)"
17723758,"2020-12-12","(none)"
17721102,"2020-12-04","cpc"
17710093,"2020-12-21","(none)"
17730897,"2021-01-03","cpc"
17719793,"2020-11-29","cpc"
17729716,"2020-12-07","cpc"
17720124,"2020-11-30","(none)"
17722836,"2020-12-01","social"
17717234,"2020-11-30","email"
17723898,"2020-12-12","email"
17723204,"2020-12-04","(none)"
17718070,"2020-11-23","email"
17721297,"2020-12-04","(none)"
